fid,species,longitude,latitude,preMed1,postMed1,,Diff,% change,ave,med
17,Mustela nivalis,-94.768,40.507,0.471656501,0.517130494,,0.045473993,0.096413371,0.09311667,0.094910249
18,Mustela nivalis,-94.772861,40.174278,0.474068999,0.529641509,,0.05557251,0.117224518,,
19,Mustela nivalis,-94.388,40.605,0.503602982,0.552127481,,0.048524499,0.09635467,0.350989405,
20,Mustela nivalis,-95.397,40.556,0.483526498,0.547402024,,0.063875526,0.132103465,,
21,Mustela nivalis,-94.397,40.307,0.491104484,0.556311488,,0.065207005,0.132776236,,
22,Mustela nivalis,-96.769154,39.695031,0.379621506,0.4739995,,0.094377995,0.24861077,,
38,Mustela nivalis,-97.89095,39.15207,0.274118006,0.327763498,,0.053645492,0.195702182,,
39,Mustela nivalis,-95.57574,38.14214,0.238009512,0.332118988,,0.094109476,0.395402164,,
40,Mustela nivalis,-98.50007538,38.16408079,0.189767003,0.269008994,,0.079241991,0.417575183,,
41,Mustela nivalis,-98.13887446,39.57455763,0.329424024,0.451193005,,0.121768981,0.369642079,,
42,Mustela nivalis,-97.66236117,39.57075953,0.415413499,0.520040512,,0.104627013,0.251862333,,
43,Mustela nivalis,-98.19095048,38.73057168,0.212678507,0.313923001,,0.101244494,0.476044784,,
44,Mustela nivalis,-97.22560007,38.09375696,0.25306499,0.409081519,,0.156016529,0.616507756,,
45,Mustela nivalis,-97.94085965,38.0927843,0.248258501,0.34937799,,0.101119488,0.407315309,,
47,Mustela nivalis,-97.17895369,40.52477688,0.505563498,0.568200946,,0.062637448,0.123896302,,
48,Mustela nivalis,-99.44190273,38.41558234,0.14348951,0.24941349,,0.10592398,0.738200165,,
49,Mustela nivalis,-96.459775,39.13283117,0.291294992,0.385064989,,0.093769997,0.321907343,,
50,Mustela nivalis,-99.42380555,38.90716363,0.188715994,0.307065994,,0.118349999,0.627132849,,
51,Mustela nivalis,-97.57147447,38.90386102,0.282863498,0.378306001,,0.095442504,0.337415413,,
52,Mustela nivalis,-95.75739144,40.18411693,0.4197115,0.510629535,,0.090918034,0.216620307,,
53,Mustela nivalis,-95.77441853,39.59551595,0.424863517,0.467247486,,0.042383969,0.099759022,,
54,Mustela nivalis,-97.00544066,39.21326785,0.289514482,0.402613997,,0.113099515,0.390652358,,
55,Mustela nivalis,-95.5062998,39.37915036,0.373558491,0.415995508,,0.042437017,0.113602068,,
56,Mustela nivalis,-95.25839672,40.07496024,0.398149014,0.472526014,,0.074377,0.186806943,,
57,Mustela nivalis,-97.52413958,39.92714444,0.390200019,0.469569504,,0.079369485,0.203407179,,
62,Mustela nivalis,-96.20656,40.82014,0.468904495,0.591814518,,0.122910023,0.262121657,,
63,Mustela nivalis,-98.50514,38.45792,0.216785014,0.321532488,,0.104747474,0.483185955,,
64,Mustela nivalis,-98.46,38.964462,0.245436996,0.382865012,,0.137428015,0.559931947,,
65,Mustela nivalis,-96.834183,40.288169,0.455375999,0.503750026,,0.048374027,0.106228758,,
66,Mustela nivalis,-99.014454,38.841981,0.209477991,0.365769982,,0.156291991,0.746102205,,
67,Mustela nivalis,-99.264717,39.438061,0.178571001,0.297815979,,0.119244978,0.667773476,,
69,Mustela nivalis,-97.663887,38.370831,0.249256507,0.333052516,,0.083796009,0.336183837,,
70,Mustela nivalis,-96.5075,39.43972,0.352407515,0.412218988,,0.059811473,0.169722467,,
71,Mustela nivalis,-97.166641,37.782776,0.253296018,0.35907352,,0.105777502,0.417604283,,
72,Mustela nivalis,-98.51754,39.809715,0.271526486,0.395551503,,0.124025017,0.456769499,,
73,Mustela nivalis,-99.137749,39.761669,0.210695997,0.349131495,,0.138435498,0.657039051,,
74,Mustela nivalis,-97.072395,38.348316,0.256265491,0.391267002,,0.13500151,0.526803314,,
75,Mustela nivalis,-98.910225,39.470825,0.155976996,0.255052984,,0.099075988,0.635196154,,
