Model,Mean_AUC_ratio,pval_pROC,Omission_rate_at_5%,AICc,delta_AICc,W_AICc,num_parameters
M_4_F_lq_Set_1,1.398682891,0,0,1527.067961,43.229423,7.11E-12,7
M_5_F_lq_Set_1,1.393631315,0,0,1528.829013,44.9904758,6.37E-12,7
M_0.8_F_qp_Set_1,1.402600787,0,0,1542.984154,59.14561634,6.93E-16,12
M_0.9_F_qp_Set_1,1.414609845,0,0,1544.450126,60.61158855,3.92E-16,12
M_1_F_qp_Set_1,1.42107262,0,0,1546.019189,62.18065159,2.15E-16,12
M_2_F_qp_Set_1,1.507562608,0,0,1550.213757,66.37521921,3.34E-17,9
M_1_F_p_Set_1,1.457541514,0,0,1551.700655,67.86211764,1.20E-17,8
M_1_F_l_Set_1,1.373547459,0,0,1552.005552,68.16701447,1.02E-17,5
M_0.9_F_l_Set_1,1.36844033,0,0,1552.261231,68.42269315,7.50E-18,5
M_0.9_F_p_Set_1,1.465123658,0,0,1552.293792,68.45525438,7.46E-18,8
M_0.8_F_l_Set_1,1.372856061,0,0,1552.533475,68.69493714,5.61E-18,5
M_0.7_F_l_Set_1,1.369066954,0,0,1552.812229,68.97369105,4.26E-18,5
M_0.6_F_l_Set_1,1.36634564,0,0,1553.101338,69.26280012,3.28E-18,5
M_0.5_F_l_Set_1,1.367280695,0,0,1553.401406,69.56286851,2.54E-18,5
M_0.8_F_p_Set_1,1.471384485,0,0,1553.45516,69.61662241,3.57E-18,8
M_0.4_F_l_Set_1,1.376430153,0,0,1553.711537,69.87299941,2.01E-18,5
M_0.3_F_l_Set_1,1.369875064,0,0,1554.034584,70.19604687,1.64E-18,5
M_0.2_F_l_Set_1,1.367424236,0,0,1554.368385,70.52984779,1.34E-18,5
M_0.1_F_l_Set_1,1.371817243,0,0,1554.714127,70.87558915,1.11E-18,5
M_0.7_F_p_Set_1,1.468072976,0,0,1555.330335,71.4917973,1.22E-18,8
M_0.6_F_p_Set_1,1.463539918,0,0,1558.14996,74.31142221,2.65E-19,8
M_0.3_F_q_Set_1,1.195186135,0,0,1560.069872,76.23133401,8.04E-20,5
M_0.4_F_q_Set_1,1.197084174,0,0,1560.865639,77.02710191,5.64E-20,5
M_0.5_F_q_Set_1,1.188011549,0,0,1561.667144,77.82860647,4.08E-20,5
M_0.5_F_p_Set_1,1.475154034,0,0,1562.220167,78.38162913,3.11E-20,8
M_0.6_F_q_Set_1,1.192905595,0,0,1562.465304,78.62676624,3.05E-20,5
M_0.7_F_q_Set_1,1.185292118,0,0,1563.254497,79.41595987,2.31E-20,5
M_0.8_F_q_Set_1,1.180899417,0,0,1564.030557,80.1920193,1.80E-20,5
M_0.9_F_q_Set_1,1.18462777,0,0,1564.789074,80.95053677,1.44E-20,5
M_1_F_q_Set_1,1.181246875,0,0,1565.526952,81.68841443,1.19E-20,5
M_2_F_q_Set_1,1.173464287,0,0,1566.639073,82.8005358,8.48E-21,3
